ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
X308163,0.765936973180076,0.661644578313253,7.6609287998975,3.11733439546385e-11,7.19480778473056e-08,15.2516088023069
X782811,-2.28262068965517,2.0569421686747,-7.05426259890371,4.84978625943576e-10,5.53757778207725e-07,12.6413064571073
X21652,1.25478965517241,1.48787951807229,6.96617138323949,7.19789139784738e-10,5.53757778207725e-07,12.2657835201407
X609663,-0.895359770114942,0.652469879518072,-6.66206391775063,2.78797091194959e-09,1.60865921619491e-06,10.978221105353
X45632,0.622504278416348,0.839685542168675,6.56304075848728,4.31847482737866e-09,1.99340798031799e-06,10.56226449327
X896949,-0.481896487867177,0.646249397590361,-6.46918249923567,6.52734168513245e-09,2.4308917048196e-06,10.1696646598584
X208699,-0.453611749680715,0.669920481927711,-6.42939205503363,7.77270046684701e-09,2.4308917048196e-06,10.003736561643
X789204,-1.626880651341,2.15303373493976,-6.41097851744576,8.42596778100382e-09,2.4308917048196e-06,9.92705740587083
X193913,-0.726960344827586,0.624648192771084,-6.2167877429441,1.96508960958617e-08,4.79182529053169e-06,9.12268733285116
X812105,-1.63605619412516,1.24211927710843,-6.20411211595868,2.07618080179016e-08,4.79182529053169e-06,9.07046732458121
X789376,-0.512877203065134,0.783003614457831,-6.07654471748052,3.60360094280683e-08,7.56100997818014e-06,8.54698790962945
X194214,0.833986398467433,1.01663493975904,6.05550905286062,3.94517599998174e-08,7.58788850663155e-06,8.46103770138584
X810448,-0.284923052362708,0.335042168674699,-6.00032598107965,5.00057030356208e-08,8.83275452589621e-06,8.23608032191835
X786084,-0.982794316730524,1.21414337349398,-5.98422985608769,5.35782336926113e-08,8.83275452589621e-06,8.17060659135067
X856135,-0.525800574712643,0.763630120481928,-5.96808540596884,5.74141714855577e-08,8.83412718591114e-06,8.10500220537025
X841370,-0.733529821200511,1.04373614457831,-5.87781117987959,8.44134121015726e-08,1.21766346956519e-05,7.73940670145157
X811108,0.695864303959131,0.746724096385542,5.80360567328078,1.15695624347007e-07,1.55769430179466e-05,7.44051190586912
X308497,0.335107982120051,0.370204819277108,5.78681282761942,1.24225270032586e-07,1.55769430179466e-05,7.37308094003778
X809910,1.75064163473819,1.66383373493976,5.77931095527108,1.28233066438902e-07,1.55769430179466e-05,7.34298286613106
X325182,-0.746833844189017,0.565401204819277,-5.75597098358097,1.41534124005293e-07,1.63330379102108e-05,7.24944214649464
X770394,1.76772598978289,1.47366265060241,5.71834681063483,1.65888281922409e-07,1.82319121274724e-05,7.09897924140102
X489489,-0.887762707535122,1.10302289156626,-5.6971314997242,1.81393401423796e-07,1.90298168402782e-05,7.01431636079359
X283315,-0.673631928480204,0.685402409638554,-5.67994751410127,1.94990213532512e-07,1.9566844036219e-05,6.94583699333845
X789182,-1.49376315453384,2.2084265060241,-5.614307127878,2.56793348970326e-07,2.40292545599309e-05,6.68505841388745
X142134,0.268455874840357,0.29833734939759,5.61108207838327,2.60282220103237e-07,2.40292545599309e-05,6.67227904729748
X1435862,2.06188007662835,2.25369518072289,5.56844469067538,3.11029683791433e-07,2.76098657765626e-05,6.50362450297311
X810057,1.68972777777778,2.37544096385542,5.53304036765169,3.60459663367742e-07,3.08126260389907e-05,6.36400628080319
X1434905,0.45156404853129,0.511678313253012,5.52221185266573,3.77064025805983e-07,3.10808489842932e-05,6.32138176542041
X365826,1.67794246487867,1.27882168674699,5.49092460516978,4.29376638994086e-07,3.41724580275293e-05,6.19843308049952
X809557,-0.905122796934865,1.3604421686747,-5.48093927299896,4.47526056992992e-07,3.44296713179942e-05,6.15925952332945
X204545,0.989997956577267,1.11266746987952,5.44965768318548,5.09398506802208e-07,3.79255404419192e-05,6.0367458805784
X40017,-1.0921524265645,1.83696024096386,-5.44044402085882,5.29172129243843e-07,3.81665398217122e-05,6.00072118530036
X41591,0.650950957854406,0.535248192771084,5.42585234793136,5.62038935826787e-07,3.8419515933679e-05,5.94372557507244
X234150,-0.483531928480204,0.604081927710843,-5.42416259239039,5.65972071813296e-07,3.8419515933679e-05,5.93712983375993
X1374571,0.3668312899106,0.613533734939759,5.40568667890046,6.10779075469155e-07,4.02765173195088e-05,5.86507282955156
